Pattern #1 Target #1168 Run completed: 0 solutions; 20 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #1175 Run completed: 0 solutions; 24 fail nodes; 49 nodes; 0 milliseconds
Pattern #1 Target #1183 Run completed: 0 solutions; 16 fail nodes; 35 nodes; 0 milliseconds
Pattern #1 Target #1185 Run completed: 0 solutions; 8 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #1231 Run completed: 0 solutions; 20 fail nodes; 51 nodes; 1 milliseconds
Pattern #1 Target #1249 Run completed: 0 solutions; 40 fail nodes; 69 nodes; 0 milliseconds
Pattern #1 Target #1296 Run completed: 0 solutions; 6 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #1339 Run completed: 0 solutions; 10 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #1347 Run completed: 0 solutions; 48 fail nodes; 106 nodes; 1 milliseconds
Pattern #1 Target #1356 Run completed: 0 solutions; 10 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #1362 Run completed: 0 solutions; 29 fail nodes; 47 nodes; 0 milliseconds
Pattern #1 Target #1364 Run completed: 0 solutions; 10 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #1386 Run completed: 0 solutions; 52 fail nodes; 97 nodes; 0 milliseconds
Pattern #1 Target #1390 Run completed: 0 solutions; 4 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #1468 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #1541 Run completed: 0 solutions; 6 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #1543 Run completed: 0 solutions; 20 fail nodes; 37 nodes; 0 milliseconds
Pattern #1 Target #1570 Run completed: 0 solutions; 30 fail nodes; 67 nodes; 0 milliseconds
Pattern #1 Target #1736 Run completed: 0 solutions; 20 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #1756 Run completed: 0 solutions; 28 fail nodes; 38 nodes; 0 milliseconds
Pattern #1 Target #1757 Run completed: 0 solutions; 14 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #1771 Run completed: 0 solutions; 6 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #1793 Run completed: 0 solutions; 22 fail nodes; 61 nodes; 0 milliseconds
Pattern #1 Target #1816 Run completed: 0 solutions; 48 fail nodes; 53 nodes; 0 milliseconds
Pattern #1 Target #1895 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #1898 Run completed: 0 solutions; 2 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #1899 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #1906 Run completed: 0 solutions; 17 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #1937 Run completed: 0 solutions; 3 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #1986 Run completed: 0 solutions; 24 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #2018 Run completed: 1 solutions; 4 fail nodes; 23 nodes; 0 milliseconds
Pattern #1 Target #2031 Run completed: 0 solutions; 1 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #2035 Run completed: 1 solutions; 2 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #2101 Run completed: 0 solutions; 12 fail nodes; 31 nodes; 1 milliseconds
Pattern #1 Target #2184 Run completed: 0 solutions; 11 fail nodes; 19 nodes; 0 milliseconds
Pattern #1 Target #2203 Run completed: 0 solutions; 28 fail nodes; 25 nodes; 0 milliseconds
Pattern #1 Target #2253 Run completed: 0 solutions; 6 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #2339 Run completed: 0 solutions; 28 fail nodes; 65 nodes; 0 milliseconds
Pattern #1 Target #2382 Run completed: 0 solutions; 88 fail nodes; 146 nodes; 1 milliseconds
Pattern #1 Target #2384 Run completed: 0 solutions; 48 fail nodes; 157 nodes; 0 milliseconds
Pattern #1 Target #2389 Run completed: 0 solutions; 106 fail nodes; 246 nodes; 1 milliseconds
Pattern #1 Target #2441 Run completed: 0 solutions; 1 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #2452 Run completed: 1 solutions; 6 fail nodes; 20 nodes; 0 milliseconds
Pattern #1 Target #2483 Run completed: 0 solutions; 29 fail nodes; 52 nodes; 1 milliseconds
Pattern #1 Target #2520 Run completed: 0 solutions; 17 fail nodes; 45 nodes; 0 milliseconds
Pattern #1 Target #2537 Run completed: 0 solutions; 21 fail nodes; 48 nodes; 0 milliseconds
Pattern #1 Target #2539 Run completed: 1 solutions; 19 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #2565 Run completed: 0 solutions; 18 fail nodes; 35 nodes; 0 milliseconds
Pattern #1 Target #2575 Run completed: 0 solutions; 14 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #2619 Run completed: 0 solutions; 24 fail nodes; 61 nodes; 0 milliseconds
fail 5: P#1 T#2667
Pattern #1 Target #2667 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #2678 Run completed: 0 solutions; 31 fail nodes; 67 nodes; 0 milliseconds
Pattern #1 Target #2687 Run completed: 0 solutions; 6 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #2689 Run completed: 0 solutions; 20 fail nodes; 41 nodes; 0 milliseconds
Pattern #1 Target #2705 Run completed: 0 solutions; 2 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #2709 Run completed: 1 solutions; 8 fail nodes; 23 nodes; 1 milliseconds
Pattern #1 Target #2713 Run completed: 0 solutions; 20 fail nodes; 28 nodes; 0 milliseconds
Pattern #1 Target #2726 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2738 Run completed: 0 solutions; 14 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #2741 Run completed: 0 solutions; 8 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #2743 Run completed: 0 solutions; 10 fail nodes; 18 nodes; 0 milliseconds
Pattern #1 Target #2750 Run completed: 0 solutions; 8 fail nodes; 16 nodes; 0 milliseconds
